, LEPTYNA ,GRELINA,REZYSTYNA,APELINA,PARATHORMON,HISTAMINA,INSULINA,GLUKAGON,KALCYTRIOL,KALCYTONINA,WAZOPRESYNA
Czy jesteś hormonem magazynowanym i wydzielanym przez adipocyty?,1,0,1,0,0,0,0,0,0,0,0
Czy jesteś syntetyzowany w wątrobie?,1,0,0,0,0,0,0,0,0,0,0
Czy sygnalizujesz potrzebę zakończenia jedzenia?,1,0,0,0,0,0,0,0,0,0,0
Czy aktywujesz kinazy białkowe JAK i fosforylację STAT?,1,0,0,0,0,0,0,0,0,0,0
Czy głównym efektem twojego działania jest uczucie sytości?,1,0,0,0,0,0,0,0,0,0,0
Czy stymulujesz oś podwzgórze-przysadka-tarczyca?,1,0,0,0,0,0,0,0,0,0,0
Czy obniżasz stężenie glukozy we krwi?,1,0,0,0,0,0,1,0,0,0,0
Czy twoje stężenie u kobiet jest wyższe niż u mężczyzn?,1,0,0,0,0,0,0,0,0,0,0
Czy estrogeny wpływają na twoje stężenie u kobiet?,1,0,0,0,0,0,0,0,0,0,0
Czy działasz insulinopodobnie?,1,0,0,0,0,0,0,0,0,0,0
Czy stymulujesz oś podwzgórze-przysadka-gonady?,1,0,0,0,0,0,0,0,0,0,0
Czy zwiększasz zużycie energii przez organizm?,1,0,0,0,0,0,0,0,0,0,0
Czy bezpośrednio obniżasz apetyt?,1,0,0,0,0,0,0,0,0,0,0
Czy jesteś wydzielany w żołądku?,0,1,0,0,0,0,0,0,0,0,0
Czy wzrost twojego stężenia sygnalizuje mózgowi głód?,0,1,0,0,0,0,0,0,0,0,0
Czy jesteś znany jako stymulator apetytu?,0,1,0,0,0,0,0,0,0,0,0
Czy masz wpływ na pobudzenie łaknienia?,0,1,0,0,0,0,0,0,0,0,0
Czy głównie jesteś wydzielany przez trzustkę?,0,0,0,0,0,0,1,1,0,0,0
Czy jesteś odpowiedzialny za zmniejszenie apetytu?,1,0,0,0,0,0,0,0,0,0,0
Czy twoje podwyższone stężenie jest związane z uczuciem sytości?,1,0,0,0,0,0,0,0,0,0,0
Czy jesteś hormonem białkowym?,1,1,1,1,1,0,1,1,0,1,1
Czy źródłem twojego pochodzenia są adipocyty?,1,0,1,1,0,0,0,0,0,0,0
Czy przyczyniasz się do zmniejszenia wrażliwości komórek na insulinę?,0,0,1,0,0,0,0,0,0,0,0
Czy aktywujesz enzymy odpowiedzialne za glukoneogenezę?,0,0,1,0,0,0,0,0,0,0,0
Czy stymulujesz glikogenolizę w hepatocytach?,0,0,1,0,0,0,0,1,0,0,0
Czy hamujesz ekspresję transporterów glukozy GLUT4 w mięśniach i adipocytach?,0,0,1,0,0,0,0,0,0,0,0
Czy twoją fizjologiczną rolą jest podtrzymywanie glikemii podczas głodu?,0,0,1,0,0,0,0,1,0,0,0
Czy twój patologiczny efekt wiąże się z powstawaniem nadmiernej ilości tkanki tłuszczowej?,0,1,1,0,0,0,1,0,0,0,0
Czy jesteś wydzielany przez trzustkę?,0,0,0,0,0,0,1,1,0,0,0
Czy odgrywasz rolę w regulacji gospodarki wodnej organizmu?,0,0,0,0,0,0,0,0,0,0,1
Czy jesteś związany z otyłością?,0,1,1,1,0,0,0,0,0,0,0
